bib_id,title,note_num,note,type,source
17517439,"Light's patent life-boat, buoys, belt, and general marine buoyancy company.",2,"This document is part of CO 384/84 from The National Archives, UK.",,daniel
17517439,"Light's patent life-boat, buoys, belt, and general marine buoyancy company.",3,Title from publisher's website.,,daniel
17517440,"Colonial Land and Emigration Commission : tenth general report of the Colonial Land and Emigration Commissioners, 1850.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517440,"Colonial Land and Emigration Commission : tenth general report of the Colonial Land and Emigration Commissioners, 1850.",2,"This document is part of CO 384/85 from The National Archives, UK.",,daniel
17517440,"Colonial Land and Emigration Commission : tenth general report of the Colonial Land and Emigration Commissioners, 1850.",3,Title from publisher's website.,,daniel
17517441,French Lloyd's register of shipping.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517441,French Lloyd's register of shipping.,2,"This document is part of CO 384/85 from The National Archives, UK.",,daniel
17517441,French Lloyd's register of shipping.,3,Title from publisher's website.,,daniel
17517442,"Emigration to New Granada, South America : published by order of the  Provisional Committee of the Society for Promoting Emigration to New Granada.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517442,"Emigration to New Granada, South America : published by order of the  Provisional Committee of the Society for Promoting Emigration to New Granada.",2,"This document is part of CO 384/85 from The National Archives, UK.",,daniel
17517442,"Emigration to New Granada, South America : published by order of the  Provisional Committee of the Society for Promoting Emigration to New Granada.",3,Title from publisher's website.,,daniel
17517443,"The Universal Emigration and Colonization Company, embracing the principle of freehold assurance.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517443,"The Universal Emigration and Colonization Company, embracing the principle of freehold assurance.",2,"This document is part of CO 384/85 from The National Archives, UK.",,daniel
17517443,"The Universal Emigration and Colonization Company, embracing the principle of freehold assurance.",3,Title from publisher's website.,,daniel
